89045653459,7804311294,1011917150-0118,,08-Dec-19,06:12:34,9845873244,,IND,00:10:25,12,02:32:30,45.99,,08-Dec-19,20:12:50,21243134,AUS,12.45KB,25,,32.34KB,67.23
89045653459,7804311294,1011917150-0118,,09-Dec-19,20:25:34,3413243310,xyz,IND,00:19:25,15,02:32:30,45.99,,09-Dec-19,23:22:10,21243134,AUS,11.45KB,25,,35.87 KB,67.23
89045653459,7804311294,1011917150-0118,,10-Dec-19,22:25:34,231423141,,INDIA,00:28:25,18,02:32:30,45.99,,10-Dec-19,02:31:30,22343,AUS,13.45KB,25,,21.34 KB,67.23
89045653459,7804311294,1011917150-0118,,11-Dec-19,19:25:34,234234234,,IND,10:37:25,21,02:32:30,45.99,,11-Dec-19,05:40:50,41234312,AUS,14.45KB,25,,11.87 KB,67.23
89045653459,7804311294,1011917150-0118,,12-Dec-19,22:25:34,54314533,,IND,00:46:25,22,02:32:30,45.99,,12-Dec-29,08:50:10,32432444,AUS,15.95KB,25,,35.87 KB,67.23
89045653460,7804311295,1011917150-0129,,24-Dec-19,20:12:34,9845873244,,IND,00:10:25,12,02:32:30,45.99,,23-Dec-19,20:12:50,21243134,AUS,12.45KB,25,,32.34KB,67.23
89045653460,7804311295,1011917150-0129,,24-Dec-19,20:25:30,341324331,,IND,00:19:25,15,02:32:30,45.99,,24-Dec-19,23:22:10,21243134,AUS,11.45KB,25,,35.87 KB,67.23
89045653460,7804311295,1011917150-0129,,25-Dec-19,22:25:34,231423151,,IND,00:28:25,18,02:32:30,45.99,,25-Dec-19,02:31:30,22343,AUS,13.45KB,25,,21.34 KB,67.23
89045653460,7804311295,1011917150-0129,,26-Dec-19,19:25:34,234234234,,SA,00:37:25,21,02:32:30,45.99,,26-Dec-19,05:40:50,41234312,AUS,14.45KB,25,,11.87 KB,67.23
89045653460,7804311295,1011917150-0129,,27-Dec-19,22:25:34,54314533,,IND,01:46:25,24,02:32:30,45.99,,27-Dec-19,08:50:10,32432444,AUS,15.45KB,25,,35.87 KB,67.23
89045653461,7804311296,1011917150-0140,,02-Dec-19,20:12:34,9845873244,,IND,00:10:25,15,02:32:30,45.99,,02-Dec-19,20:12:50,21243134,AUS,12.45KB,25,,32.34KB,67.23
